               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,  train/topleft_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,    val/topleft_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.041598,            0.021425,           0.0086628,             0.10242,            0.026005,             0.88136,             0.90431,             0.92648,             0.52975,             0.03045,            0.018054,           0.0054366,            0.099031,            0.022422,           0.0098119,           0.0098119,           0.0098119
                  51,            0.041357,            0.021141,           0.0083585,              0.1013,            0.026064,             0.92263,             0.88306,             0.93493,             0.54999,            0.030393,            0.017609,           0.0054098,              0.0982,            0.022366,           0.0098042,           0.0098042,           0.0098042
                  52,            0.041204,            0.021525,           0.0087405,             0.10271,            0.026303,             0.92289,             0.90265,              0.9453,             0.54708,            0.030151,            0.017716,           0.0055393,               0.097,            0.021379,           0.0097964,           0.0097964,           0.0097964
                  53,            0.041237,            0.021239,           0.0085742,             0.10114,            0.025637,             0.92352,             0.87622,             0.93708,             0.52863,            0.030663,            0.017614,           0.0051193,            0.098995,            0.021176,           0.0097884,           0.0097884,           0.0097884
                  54,              0.0411,            0.021523,           0.0084171,             0.10198,            0.026317,             0.92705,             0.88473,             0.93469,             0.53794,            0.029631,            0.017387,           0.0050764,            0.097865,            0.022682,           0.0097803,           0.0097803,           0.0097803
                  55,            0.040393,             0.02096,           0.0085151,             0.10129,            0.026152,             0.91284,             0.91129,             0.94527,             0.55845,            0.030029,            0.017618,           0.0049858,            0.096815,            0.021881,            0.009772,            0.009772,            0.009772
                  56,            0.040632,            0.021376,           0.0079412,             0.10121,            0.026004,              0.9148,             0.90598,             0.94809,             0.55152,            0.029217,            0.017411,           0.0049542,            0.097288,            0.021274,           0.0097635,           0.0097635,           0.0097635
                  57,             0.04073,            0.021307,           0.0087174,             0.10108,            0.025766,             0.91178,             0.90887,             0.94363,             0.54418,            0.029413,            0.017265,           0.0052539,            0.097158,            0.021556,           0.0097549,           0.0097549,           0.0097549
                  58,            0.040852,            0.021363,            0.008465,             0.10027,            0.025921,             0.95257,             0.86204,             0.93666,             0.54236,            0.029469,            0.017562,           0.0052352,             0.09817,            0.021573,           0.0097462,           0.0097462,           0.0097462
                  59,            0.040715,            0.021675,           0.0084387,             0.10085,            0.026107,             0.91359,             0.89701,             0.93301,             0.54678,             0.02968,            0.017398,           0.0049394,            0.096817,            0.021665,           0.0097373,           0.0097373,           0.0097373
                  60,            0.040352,            0.021087,           0.0078436,            0.099676,            0.025378,             0.92154,             0.88799,             0.94117,             0.55085,            0.030061,            0.017432,            0.005827,            0.097201,            0.021517,           0.0097283,           0.0097283,           0.0097283
                  61,            0.040204,            0.021026,           0.0077595,            0.099556,            0.025857,             0.91553,             0.89835,              0.9411,             0.55654,            0.029192,            0.017164,           0.0047282,            0.097416,            0.021432,           0.0097191,           0.0097191,           0.0097191
                  62,            0.040492,            0.021207,           0.0081853,             0.10016,            0.025828,             0.89919,             0.92486,             0.94374,             0.55116,            0.029025,            0.017471,           0.0050127,             0.09706,            0.020595,           0.0097098,           0.0097098,           0.0097098
                  63,            0.039885,            0.020868,           0.0078579,            0.099246,            0.025708,             0.92439,             0.86315,             0.92751,              0.5473,            0.029843,            0.017613,           0.0050922,            0.097153,            0.021625,           0.0097003,           0.0097003,           0.0097003
                  64,            0.040259,            0.020754,           0.0075783,            0.099424,            0.025494,               0.939,             0.87735,             0.94237,             0.56603,            0.028863,            0.017227,           0.0051732,            0.096441,             0.02177,           0.0096907,           0.0096907,           0.0096907
                  65,            0.039802,            0.020427,            0.007673,            0.098777,            0.025768,             0.89597,             0.91551,             0.93853,              0.5556,            0.029123,            0.017449,            0.004608,            0.097092,             0.02106,           0.0096809,           0.0096809,           0.0096809
                  66,            0.039502,            0.021073,            0.007481,             0.09851,            0.025642,             0.89718,             0.88867,             0.93244,             0.54845,            0.029243,            0.017393,           0.0052028,            0.096107,            0.022085,            0.009671,            0.009671,            0.009671
                  67,            0.039441,            0.020768,           0.0077139,            0.099332,            0.025654,              0.9482,             0.87504,             0.94534,             0.56193,            0.028806,            0.017228,            0.004454,            0.096151,            0.022665,            0.009661,            0.009661,            0.009661
                  68,            0.039528,            0.021126,           0.0083085,            0.098881,            0.025828,             0.91789,              0.8978,             0.93947,             0.55223,            0.028604,            0.017138,           0.0050943,            0.094554,             0.02129,           0.0096508,           0.0096508,           0.0096508
                  69,            0.039556,            0.020516,           0.0075166,             0.09773,            0.025266,             0.92602,             0.90167,             0.94824,             0.56549,            0.028531,            0.017222,           0.0050115,            0.095993,            0.021499,           0.0096404,           0.0096404,           0.0096404
                  70,            0.039009,            0.020561,           0.0074541,            0.098199,            0.025339,             0.93403,             0.90714,             0.95553,              0.5674,            0.028429,            0.017004,           0.0041281,            0.096253,            0.021543,           0.0096299,           0.0096299,           0.0096299
                  71,            0.039159,            0.021167,           0.0080952,            0.098102,            0.025986,             0.91697,             0.90576,             0.93576,             0.55468,            0.028525,            0.016921,            0.005065,            0.096005,            0.021162,           0.0096193,           0.0096193,           0.0096193
